Freq(MHz);Theta;Phi;Data(dB)
5180;135;225;-30,77
5180;135;240;-32,98
5180;135;255;-44,61
5180;135;270;-42,81
5180;135;285;-38,6
5180;135;300;-31,91
5180;135;315;-29,79
5180;135;330;-29,46
5180;135;345;-35,86
5180;150;0;-29,23
5180;150;15;-33,64
5180;150;30;-31,3
5180;150;45;-33
5180;150;60;-33,74
5180;150;75;-33,74
5180;150;90;-30,41
5180;150;105;-38,61
5180;150;120;-32,51
5180;150;135;-28,86
5180;150;150;-24,67
5180;150;165;-31,31
5180;150;180;-30,84
5180;150;195;-34,93
5180;150;210;-28,66
5180;150;225;-31,6
5180;150;240;-29,92
5180;150;255;-38,19
5180;150;270;-43,16
5180;150;285;-42,64
5180;150;300;-32,19
5180;150;315;-32,97
5180;150;330;-28,21
5180;150;345;-30,76
5180;165;0;-30,37
5180;165;15;-34,73
5180;165;30;-30,46
5180;165;45;-35,85
5180;165;60;-34,94
5180;165;75;-38,7
5180;165;90;-34,28
5180;165;105;-38,75
5180;165;120;-34,89
5180;165;135;-37,53
5180;165;150;-34,81
5180;165;165;-31,41
5180;165;180;-28,65
5180;165;195;-30,29
5180;165;210;-28,5
5180;165;225;-31,48
5180;165;240;-31,86
5180;165;255;-41,76
5180;165;270;-37,75
5180;165;285;-43,4
5180;165;300;-35,36
5180;165;315;-37,41
5180;165;330;-31,73
5180;165;345;-35,57
5180;180;0;-29,79
5180;180;15;-34,08
5180;180;30;-33,77
5180;180;45;-38,16
5180;180;60;-41,35
5180;180;75;-67,21
5180;180;90;-44,35
5180;180;105;-38,66
5180;180;120;-33,22
5180;180;135;-34,48
5180;180;150;-29,68
5180;180;165;-32,63
5180;180;180;-30,99
5180;180;195;-34,38
5180;180;210;-32,77
5180;180;225;-38,26
5180;180;240;-42,25
5180;180;255;-67,11
5180;180;270;-44,65
5180;180;285;-39,46
5180;180;300;-34,92
5180;180;315;-34,38
5180;180;330;-32,68
5180;180;345;-32,33
5500;0;0;-36,34
5500;0;15;-38,42
5500;0;30;-42,77
5500;0;45;-55,86
5500;0;60;-48,6
5500;0;75;-41,36
5500;0;90;-37,03
5500;0;105;-35,68
5500;0;120;-34,32
5500;0;135;-33,85
5500;0;150;-33,78
5500;0;165;-34,33
5500;0;180;-35,94
5500;0;195;-39,12
5500;0;210;-43,27
5500;0;225;-55,96
5500;0;240;-48,6
5500;0;255;-40,46
5500;0;270;-34,43
5500;0;285;-35,48
5500;0;300;-31,82
5500;0;315;-33,95
5500;0;330;-32,58
5500;0;345;-34,93
5500;15;0;-32,05
5500;15;15;-37,78
5500;15;30;-39,15
5500;15;45;-45,82
5500;15;60;-45,73
5500;15;75;-39,8
5500;15;90;-32,3
5500;15;105;-33,36
5500;15;120;-27,63
5500;15;135;-29,63
5500;15;150;-25
5500;15;165;-28,73
5500;15;180;-26,7
5500;15;195;-31,5
5500;15;210;-35,13
5500;15;225;-37,46
5500;15;240;-35,32
5500;15;255;-38,51
5500;15;270;-33,04
5500;15;285;-36,15
5500;15;300;-33,15
5500;15;315;-37,15
5500;15;330;-36,79
5500;15;345;-41,72
