Frequency  (MHz);;;;;;;;;;;;;;
;180;-37,40;-30,50;-29,37;-31,04;-34,02;-28,80;-28,48;-31,23;-34,94;-35,20;-34,38;-31,88;-34,56
;195;-39,10;-33,25;-32,70;-35,27;-36,07;-28,59;-29,84;-30,60;-34,26;-34,44;-33,25;-30,68;-35,70
;210;-42,02;-40,09;-36,30;-40,06;-35,59;-31,97;-31,86;-32,90;-35,77;-33,86;-32,50;-31,14;-37,73
;225;-47,49;-41,54;-46,42;-41,25;-43,80;-35,31;-37,50;-35,81;-42,51;-34,84;-30,74;-31,41;-41,22
;240;-72,71;-39,37;-47,65;-38,29;-40,38;-39,10;-44,87;-35,98;-53,73;-36,98;-34,10;-39,36;-48,43
;255;-48,46;-37,68;-39,06;-36,97;-38,75;-45,53;-46,49;-36,51;-44,34;-46,40;-40,15;-43,21;-57,28
;270;-42,47;-36,78;-41,42;-40,32;-40,36;-45,74;-44,45;-46,70;-45,85;-50,10;-52,39;-45,89;-43,84
;285;-39,36;-39,14;-40,14;-40,12;-41,52;-47,16;-39,25;-39,60;-38,18;-36,96;-39,63;-46,33;-39,13
;300;-37,55;-42,18;-36,54;-37,93;-35,53;-40,28;-38,28;-38,71;-33,51;-35,40;-34,50;-45,91;-36,52
;315;-36,56;-41,78;-35,34;-34,07;-33,45;-33,17;-35,42;-35,51;-34,13;-31,50;-32,17;-36,01;-35,00
;330;-36,22;-37,24;-33,62;-32,84;-29,99;-30,78;-32,24;-42,19;-36,08;-33,53;-29,85;-36,92;-34,23
;345;-36,49;-41,34;-31,67;-30,01;-29,66;-29,94;-36,12;-39,62;-35,81;-34,06;-32,15;-36,91;-34,09
;;;;;;;;;;;;;;
5650;Theta Angle;0;15;30;45;60;75;90;105;120;135;150;165;180
;Phi Angle;Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB)
;0;-38,54;-34,80;-34,92;-31,88;-30,70;-34,30;-50,99;-36,50;-34,25;-35,53;-32,57;-33,51;-35,38
;15;-41,57;-40,48;-36,42;-33,85;-33,10;-38,74;-45,64;-35,26;-32,80;-34,24;-33,24;-34,00;-36,98
;30;-47,34;-41,78;-39,65;-38,72;-37,24;-49,74;-38,86;-37,71;-33,80;-49,24;-37,02;-36,33;-39,73
;45;-75,51;-60,43;-38,09;-47,40;-42,32;-44,28;-37,33;-33,33;-38,94;-38,72;-36,08;-34,67;-44,76
;60;-47,15;-58,43;-37,19;-43,18;-38,20;-35,97;-35,64;-37,19;-40,13;-33,64;-36,72;-38,07;-61,44
;75;-41,48;-42,59;-35,90;-39,10;-36,62;-36,65;-45,87;-36,92;-36,26;-36,77;-34,26;-36,68;-47,65
;90;-38,49;-38,06;-35,23;-43,69;-41,80;-36,74;-31,43;-34,74;-49,49;-47,45;-32,92;-38,23;-41,06
;105;-36,74;-33,08;-30,04;-33,94;-32,62;-32,57;-38,79;-42,53;-39,37;-38,14;-36,93;-40,58;-37,75
;120;-35,80;-31,98;-28,51;-32,80;-32,38;-34,60;-29,78;-30,92;-37,39;-42,68;-36,15;-43,51;-35,82
;135;-35,51;-31,55;-28,33;-31,17;-30,14;-29,33;-31,96;-36,17;-39,48;-38,52;-31,78;-42,66;-34,75
;150;-35,81;-28,97;-28,07;-29,20;-30,46;-33,67;-35,99;-36,18;-41,66;-39,20;-30,73;-35,06;-34,35
;165;-36,77;-29,61;-29,76;-27,98;-33,25;-31,75;-29,33;-33,12;-36,58;-40,55;-31,85;-31,49;-34,55
;180;-38,54;-31,32;-29,96;-30,75;-36,63;-29,20;-27,95;-29,52;-32,83;-35,02;-33,32;-31,54;-35,38
;195;-41,57;-32,92;-32,93;-36,84;-34,12;-29,07;-29,87;-31,19;-31,77;-33,45;-33,65;-30,83;-36,98
;210;-47,34;-35,78;-39,63;-36,11;-38,66;-31,33;-32,34;-33,83;-34,50;-33,35;-33,69;-31,50;-39,73
;225;-75,51;-43,40;-50,95;-48,00;-39,20;-35,68;-35,69;-35,00;-45,47;-33,79;-31,41;-33,84;-44,76
;240;-47,15;-44,30;-40,76;-38,30;-46,67;-42,46;-50,76;-39,65;-41,86;-34,88;-33,76;-33,96;-61,44
;255;-41,48;-39,47;-45,31;-37,41;-36,97;-42,48;-44,26;-37,79;-40,94;-41,09;-37,05;-41,76;-47,65
;270;-38,49;-34,83;-42,90;-36,51;-38,67;-42,13;-37,96;-48,36;-48,60;-44,42;-58,03;-57,18;-41,06
;285;-36,74;-40,59;-40,42;-39,19;-44,69;-47,86;-36,58;-39,89;-39,66;-39,52;-40,88;-39,40;-37,75
;300;-35,80;-40,35;-40,12;-37,50;-36,89;-37,57;-37,77;-36,92;-31,44;-37,03;-33,44;-44,78;-35,82
;315;-35,51;-40,26;-35,38;-34,32;-32,24;-33,01;-36,21;-37,92;-34,24;-31,90;-30,23;-36,50;-34,75
;330;-35,81;-39,61;-34,71;-30,72;-29,98;-32,72;-33,96;-39,00;-34,65;-34,09;-29,47;-34,79;-34,35
;345;-36,77;-41,36;-32,94;-30,07;-28,71;-29,43;-34,44;-34,97;-34,93;-33,47;-31,99;-35,58;-34,55
